camp_id,camp_name,live_id,live_name,work_pic_id,current_status,is_del,union_id
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9010349,1,0,oNGxt5zuDhOYKjXoKYvwfMSL3zQc
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9010413,1,0,oNGxt5wcxrPQqfipwYaK9Yxnd7aI
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9010416,1,0,oNGxt58NXXI9sRmLxF1Z0jeg41mo
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9010928,0,1,oNGxt57TWVW_0ZnTG6HyFj32ka2I
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9011148,1,0,oNGxt57TWVW_0ZnTG6HyFj32ka2I
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9011222,0,1,oNGxt58m1cwEtVce225wgy8nQAe8
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9011319,1,0,oNGxt58m1cwEtVce225wgy8nQAe8
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9011320,1,0,oNGxt5z0XipbAmG2CcxebDFJ2tFc
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9011919,1,0,oNGxt52qfyNr_6X8mD-o5PD65dDk
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9012069,3,0,oNGxt591vivQh_dDw4xz8EV8rB8w
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9012165,0,1,oNGxt58ugPrcbxyit_UHGm4SJLQ8
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9012264,3,0,oNGxt591vivQh_dDw4xz8EV8rB8w
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9012288,3,0,oNGxt58ugPrcbxyit_UHGm4SJLQ8
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9012371,1,0,oNGxt58i4YIC4T0je_6tArEvft-I
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9013160,1,0,oNGxt5_N_kid38OJXhXOR6nXbm1A
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9013257,0,1,oNGxt56nFLvewFyRJWoKDPYnCnTE
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9013437,1,0,oNGxt591vivQh_dDw4xz8EV8rB8w
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9013490,3,0,oNGxt56nFLvewFyRJWoKDPYnCnTE
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9013860,3,0,oNGxt56nFLvewFyRJWoKDPYnCnTE
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9014175,1,0,oNGxt56nFLvewFyRJWoKDPYnCnTE
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9014422,1,0,oNGxt57BBlukgsuPEt4AUyKZThZw
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9014548,1,0,oNGxt5xm5Nncrbup4MKCR6gIl2Y4
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9014571,1,0,oNGxt50RmmWI5daAetSwE7XunReg
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9014646,1,0,oNGxt57wXitsRLdArNLleDQ_bk3A
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9014750,1,0,oNGxt58ugPrcbxyit_UHGm4SJLQ8
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015164,1,0,oNGxt50bHAfv3ZXYbVw5gF0VxPKM
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015219,3,0,oNGxt57ENjcwitBk9pTItcF1_uhY
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015259,1,0,oNGxt56-d8vAGw7_-f6a7s82hRKg
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015319,3,0,oNGxt53l1RlGhlxePKw3f_j2iZcc
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015330,3,0,oNGxt5w6jVDfrADd7y6gcB4fjq1I
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015370,1,0,oNGxt53l1RlGhlxePKw3f_j2iZcc
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015615,1,0,oNGxt57ENjcwitBk9pTItcF1_uhY
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015849,1,0,oNGxt55cs8KvhpaUgZfZW2OHXJHk
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9015927,1,0,oNGxt5zsF9kXIpWm-nBkhcWsS4ac
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9016182,3,0,oNGxt53GvC4RYod1i7dEyEsBLq_w
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9016425,1,0,oNGxt5_2WT29xCFy5iKsdN1GGxfw
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9016656,1,0,oNGxt57U7uzx9YLs1kTRKcPtS_ZE
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9016852,3,0,oNGxt53zyo1Ish6UNi2N6NbcGFrA
15865,进阶班0428期-小向老师班,1136562,胡琴说（下）,9016958,1,0,oNGxt53zyo1Ish6UNi2N6NbcGFrA
